Product Code,Short Description,RRP,Price,Pack Size,MfrPartNum
3M26699,POST-IT SS MINI MEETING CHART WHITE,21.22,14.15,1,577SS
3M26902,POST-IT EXTREME 76X76MM ASSORTED PK24,69.22,30.65,1,EXT33M-24-EU1
3M27049,POST-IT EXTREME 76X76MM ASSORTED PK3,9.87,4,1,EXT33M-3-UKSP
3M27068,POST-IT EXTREME 76X76MM ASSORTED PK12,34.64,15.52,1,EXT33M-12-UKSP
3M27131,SCOTCH COMFORT SCISSORS 18CM 1427,6.24,1.73,1,1427
3M27132,SCOTCH COMFORT SCISSORS 20CM 1428,7.49,2.03,1,1428
3M27133,SCOTCH PRECISION SCISSORS 18CM 1447,11.66,3.3,1,1447
3M27134,SCOTCH PRECISION SCISSORS 20CM 1448,13.5,3.83,1,1448
3M27136,SCOTCH TITANIUM 8INCH SCISSOR NON STICK,24.02,6.92,1,7000034001
3M27138,SCOTCH UNIVERSAL SCISSORS 18CM 1407,4.12,1.29,1,1407
3M27139,SCOTCH UNIVERSAL SCISSORS 20CM 1408,4.78,2.65,1,1408
3M27253,3M PELTOR SAFETY HELMET WHITE G3000,17.17,7.87,1,G30CVI
3M27281,SCOTCH M/TAPE DISPENSER CHAR GREY,13.83,7.66,1,C19-CLIP
3M27353,SCOTCH TITANIUM SCISSORS 20CM GREEN,17.16,5.67,1,1458T-Green
3M27405,POSTIT RECYCLED ZNOTES 76X76 YELLOW P6,17.19,9.51,1,R330-1B
3M28287,POSTIT NOTE NEON PK3 AST PK12 253-7236,45.22,19.59,1,FT510094053
3M30203,3M 2890S SEALED GOGGLE CLEAR,14.51,7.99,1,DE272934071
3M30311,3M 8812 RESPIRATOR P1 VALVED 8812 PK10,20.68,13.63,1,8812
3M30313,3M 8822 RESPIRATOR P2 VALVED 8822 PK10,30.07,16.71,1,8822
3M30575,3M CLASSIC LINE OVER SPECTACLES 2800,8.48,5.06,1,2800
3M31365,3M RESPIRATOR HALF MASK BLUE 4251,31.13,23.35,1,4251
3M31551,POSTIT STRONG INDEX 1INCH 686L-GBR,9.53,3.67,1,686L-GBR
3M31708,POSTIT INDEX SMALL FRMT AST 683-5CBINDEX,6,2.37,1,683-5CBINDEX
3M32082,COMMAND UNIVERSAL METAL PICTURE HANGER,3.93,2.62,1,17047
3M32086,3M COMMAND LRG PIC HANGING STRIPS BLK P4,4.57,3.43,1,17206BLK
3M32101,3M COMMAND MEDIUM PICTURE HANGING STRIPS,4.82,2.18,1,17201
3M32268,3M COMMAND NAR PIC HANGING STRIPS WHT P4,4.27,3.21,1,17207
3M32269,3M COMMAND LARGE PICTURE HANGING STRIPS,4.77,2.2,1,17206
3M34553,3M E-A-R CLASSIC REFILL BOTTLE PK500,104.91,78.68,1,PD-01-001
3M34693,3M COMMAND MINI CLEAR HOOKS WITH STRIPS,6.07,2.76,1,17006CLR
3M34800,3M ULTRAFIT EAR PLUGS PK50,93.73,57.61,1,UF-01-000
3M34819,3M E-A-RSOFT YLW NEONS RFL BOTTLE PK500,91.96,50.11,1,PD-01-002
3M34834,COMMAND HOOKS WITH STRIPS SMALL CLEAR,5.24,3.5,1,17092CLR
3M34911,3M ECONOMY FLOOR PADS 380MM WHITE,24.44,18.33,5,2NDWH15
3M34913,3M ECONOMY FLOOR PADS 430MM WHITE,32.87,24.65,5,2NDWH17
3M34916,SCOTCH MAGIC 810 VALE FOC DSPNSR 16 ROLL,78.98,43.71,1,8-1933R16060
3M34985,3M ECONOMY FLOOR PADS 380MM GREEN,24.44,18.33,5,2NDGN15
3M34987,3M ECONOMY FLOOR PADS 430MM GREEN,32.87,24.65,5,2NDGN17
3M36995,3M COMMAND PICTURE HANGING VALUE PACK 24,16.16,5.13,1,17209
3M38081,POSTIT SP STICKY NOTE 76X76 BANGKOK PK6,15.72,6.16,1,654-6SS-EG
3M38086,POSTIT SUPER STICKY 76X76MM ASPARAGUS P6,15.84,5.53,1,654-6SS-AW
3M38691,3M OPTIME III HEADBAND EAR DEFENDERS,28.85,16.68,1,4540A-411-SV
3M38790,3M OPTIME I HEADBAND EAR DEFENDERS,20.55,15.41,1,H510A-401-GU
3M38810,3M PELTOR EAR MUFFS OPTIME II,24.87,18.66,1,OPTIMEII
3M39845,POSTIT INDEX 25MM  BRIGHT PNK 680-21 P12,52.69,18.46,1,680-21
3M40067,POSTIT SP STICKY 76MMX76MM RIO ASSTD PK6,14.36,5.54,1,654-6SS-RIO-EU
3M40126,POSTIT SP STICKY 76X127MM MARRAKESH P6,21.68,8.96,1,655-6SS-MAR-EU
3M40127,POSTIT SP STICKY 76MMX127MM RIO ASTD PK6,21.68,7.48,1,655-6SS-RIO-EU
3M40128,POST IT SUPER STICKY Z NOTE RIO P6,20.52,6.77,1,R330-6SS-RIO-EU
3M40129,POSTIT SP STICKY Z NOTE MARRAKESH P6,20.52,7.41,1,R330-6SS-MAR-EU
3M40149,POSTIT SUPER STICKY CUBE 76X76 XWRAP YEL,8.52,3.22,1,2028-SSCY-EU
3M41531,SCOTCH EASY TEAR CLR TAPE 24MMX33M,16.55,4.52,6,50824331
3M41533,SCOTCH EASY TEAR CLR TAPE 25MMX66M,18.86,4.44,6,50825666
3M41641,3M TORA CCS SPECTACLES AND EARPLUG SET,6.91,5.19,1,71511-00000
3M42236,COMMAND HANGING STRIP LGE CLIPSTRIP,61.67,34.04,12,7100064951
3M43854,SCOTCH PISTOL GRIP DISPENSER AND 2 ROLLS,47.32,16.6,1,KT000037533
3M46608,POSTIT SUP STICKY NOTE 76X76 CAPE TWN P5,11.98,4.57,1,654-SN
3M46855,POSTIT NOTES MXED 101X101MM PK6 101-4862,27.93,13.69,1,70005115673
3M49289,3M 836R-30 EU LINT ROLLER CLOTHES WRAP,3.75,1.92,1,836R-30EU
